"Antenna Algorithm Name","Technology","Uplink Multi-user MIMO","Smart Antenna Constant Gains","Adaptive Beamforming (MMSE)"
"MIMO","HSPA","","",""
"Automatic MIMO Switching","LTE","False","False","False"
"Diversity","LTE","","False","False"
"MIMO","LTE","False","False","False"
"Smart Antenna","LTE","","True","False"
"Smart Antenna + AMS","LTE","False","True","False"
"Smart Antenna + Diversity","LTE","","True","False"
"Smart Antenna + MIMO","LTE","False","True","False"
"Automatic MIMO Switching","WiFi","","",""
"Diversity","WiFi","","",""
"MIMO","WiFi","","",""
"Smart Antenna","WiFi","","",""
"Smart Antenna + AMS","WiFi","","",""
"Smart Antenna + Diversity","WiFi","","",""
"Smart Antenna + MIMO","WiFi","","",""
"Smart Antenna","WiMAX","","",""
"Smart Antenna + AMS","WiMAX","False","",""
"Smart Antenna + WiMAX MIMO A","WiMAX","","",""
"Smart Antenna + WiMAX MIMO B","WiMAX","False","",""
"WiMAX Automatic MIMO Switching","WiMAX","False","",""
"WiMAX MIMO A","WiMAX","","",""
"WiMAX MIMO B","WiMAX","False","",""
